asv_id	sample	nreads
61e819d335cfaa2da03f374621a9b56b	MB15	28
61e819d335cfaa2da03f374621a9b56b	MB1	165
61e819d335cfaa2da03f374621a9b56b	MB16	5
61e819d335cfaa2da03f374621a9b56b	MB2	2411
61e819d335cfaa2da03f374621a9b56b	MB4	169
61e819d335cfaa2da03f374621a9b56b	MB6	164
61e819d335cfaa2da03f374621a9b56b	MB7	94
61e819d335cfaa2da03f374621a9b56b	EDNA100	2
61e819d335cfaa2da03f374621a9b56b	MB9	18
61e819d335cfaa2da03f374621a9b56b	EDNA101	2
61e819d335cfaa2da03f374621a9b56b	EDNA102	1
61e819d335cfaa2da03f374621a9b56b	CTRL1	4
61e819d335cfaa2da03f374621a9b56b	CTRL2	165
61e819d335cfaa2da03f374621a9b56b	EDNA10	44566
61e819d335cfaa2da03f374621a9b56b	EDNA11	69844
61e819d335cfaa2da03f374621a9b56b	EDNA12	27600
61e819d335cfaa2da03f374621a9b56b	EDNA13	34552
61e819d335cfaa2da03f374621a9b56b	EDNA14	44319
61e819d335cfaa2da03f374621a9b56b	EDNA15	34153
61e819d335cfaa2da03f374621a9b56b	EDNA16	48159
61e819d335cfaa2da03f374621a9b56b	EDNA17	51325
61e819d335cfaa2da03f374621a9b56b	EDNA30	14
61e819d335cfaa2da03f374621a9b56b	EDNA18	44356
61e819d335cfaa2da03f374621a9b56b	EDNA31	45795
61e819d335cfaa2da03f374621a9b56b	EDNA19	6
61e819d335cfaa2da03f374621a9b56b	EDNA32	63383
61e819d335cfaa2da03f374621a9b56b	EDNA33	26994
61e819d335cfaa2da03f374621a9b56b	EDNA34	38588
61e819d335cfaa2da03f374621a9b56b	EDNA35	36797
61e819d335cfaa2da03f374621a9b56b	EDNA36	40451
61e819d335cfaa2da03f374621a9b56b	EDNA37	4
61e819d335cfaa2da03f374621a9b56b	EDNA51	5
61e819d335cfaa2da03f374621a9b56b	EDNA38	4
61e819d335cfaa2da03f374621a9b56b	EDNA52	33118
61e819d335cfaa2da03f374621a9b56b	EDNA39	7
61e819d335cfaa2da03f374621a9b56b	EDNA53	51714
61e819d335cfaa2da03f374621a9b56b	EDNA54	42791
61e819d335cfaa2da03f374621a9b56b	EDNA55	61785
61e819d335cfaa2da03f374621a9b56b	EDNA56	56863
61e819d335cfaa2da03f374621a9b56b	EDNA70	13
61e819d335cfaa2da03f374621a9b56b	EDNA57	66751
61e819d335cfaa2da03f374621a9b56b	EDNA71	24
61e819d335cfaa2da03f374621a9b56b	EDNA58	53011
61e819d335cfaa2da03f374621a9b56b	EDNA72	1
61e819d335cfaa2da03f374621a9b56b	EDNA59	28939
