Site;Imaging;biomass
eke_1;img_biomass_Sididae;2000,00000000
eke_1;img_biomass_Synchaeta;0,00000000
eke_1;img_biomass_Tintinnopsis;833,33333340
eke_1;img_biomass_all_cyclo;152993,58975000
eke_1;img_biomass_all_cop;19230,76923000
eke_1;img_biomass_ac_total;23635,89744600
eke_1;img_biomass_all_cal;42866,66667600
eke_2;img_biomass_Asplancha;0,00000000
eke_2;img_biomass_Balanidae;0,00000000
eke_2;img_biomass_Bivalvia;0,00000000
eke_2;img_biomass_Bosmina;2100,00000000
eke_2;img_biomass_Cercopagis_pengoi;0,00000000
eke_2;img_biomass_Ceriodaphnia;2250,00000000
eke_2;img_biomass_Daphnia;0,00000000
eke_2;img_biomass_Daphnia_cucullata;0,00000000
eke_2;img_biomass_Diplostraca;0,00000000
eke_2;img_biomass_Eurytemora;3200,00000000
eke_2;img_biomass_Evadne;0,00000000
eke_2;img_biomass_Gastropoda;0,00000000
eke_2;img_biomass_Harpacticoida;0,00000000
eke_2;img_biomass_Helicostomella_subulata;16,77852349
eke_2;img_biomass_Keratella;25167,78524000
eke_2;img_biomass_Keratella_cochlearis;469798,65770000
eke_2;img_biomass_Keratella_cruciformis;5033,55704700
eke_2;img_biomass_Keratella_quadrata;120805,36910000
eke_2;img_biomass_Polychaeta;0,00000000
eke_2;img_biomass_Podon;3000,00000000
eke_2;img_biomass_Rotifera;0,00000000
